AssetIDNo,Building,CSI,CSI Div,CSIDiv,Callout,Campus,ClassBlanket,ClassCompliance,ClassCondition,ClassInterconnect,ClassPriority,ClassWarranty,CostEstimateatStart,Currently Indiv item tracked?,Currently Waldrop ID Tag?,DistrictResponsible,EqWarranty,EqWarrantyDigital,EqWarrantyDuration,EqWarrantyExpires,EqWarrantyStarts,FAIDNo,Floor,Fusion#,GeneralvsFixed,Item,Item a Consumable ?,Latitude,LifeCycleDuration,LifeCycleExpires,Longitide,Make,Model,OM,OMBinderNo,OMDigital,OMTabNo,OrigContract,OrigContractor,Project,Project#,ProjectName,Recommend Indiv item Tracking?,Recommend Waldrop ID Tag?,Room,RoomName,SerialNo,ServiceContract,ServiceContractCo,Sheet,SubGroup01,SubGroup02,SubGroup03,SubGroup04,Submittal,SubmittalDigital,Takeoff,Unnamed: 51,Unnamed: 52,Unnamed: 54,Unnamed: 57,sheet
,Voc Tech,11-Equipment,,11,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Hot cabinets,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,Yes,,,,,,,Food-Service,,,,TBD,TBD,No,,,,,11220
,Voc Tech,11-Equipment,,11,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: General food service millwork,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,Food-Service,,,,TBD,TBD,No,,,,,11220
,Voc Tech,11-Equipment,,11,,City,,,,,,,,Yes,Yes,,TBD,TBD,,,,,,24.0,,Category: Parking Control Equipment (i.e. Parking Permit Machine),No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,TBD,No,,,,,11220
,Voc Tech,11-Equipment,,11,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Cabinets (with drawers/doors),No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,TBD,No,,,,,11220
,Voc Tech,11-Equipment,,11,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Counters (with drawers/doors),No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,TBD,No,,,,,11220
,Voc Tech,11-Equipment,,11,,City,,,,,,,,No,Yes,,TBD,TBD,,,,,,24.0,,Category: Employee lockers,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,TBD,No,,,,,11220
,Voc Tech,11-Equipment,,11,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Faucet,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,TBD,No,,,,,11220
,Voc Tech,11-Equipment,,11,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Grease Interceptor,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,TBD,No,,,,,11220
,Voc Tech,11-Equipment,,11,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Hot water heater,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,TBD,No,,,,,11220
,Voc Tech,11-Equipment,,11,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Knock Box,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,TBD,No,,,,,11220
